quote,author,tags,likes
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/best"">best</a>,
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/mistakes"">mistakes</a>,
       <a href=""/quotes/tag/out-of-control"">out-of-control</a>,
       <a href=""/quotes/tag/truth"">truth</a>,
       <a href=""/quotes/tag/worst"">worst</a>
</div>",148701
Be yourself; everyone else is already taken.,Oscar Wilde,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/be-yourself"">be-yourself</a>,
       <a href=""/quotes/tag/honesty"">honesty</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/misattributed-oscar-wilde"">misattributed-oscar-wilde</a>
</div>",146558
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/human-nature"">human-nature</a>,
       <a href=""/quotes/tag/humor"">humor</a>,
       <a href=""/quotes/tag/infinity"">infinity</a>,
       <a href=""/quotes/tag/philosophy"">philosophy</a>,
       <a href=""/quotes/tag/science"">science</a>,
       <a href=""/quotes/tag/stupidity"">stupidity</a>,
       <a href=""/quotes/tag/universe"">universe</a>
</div>",130104
"So many books, so little time.",Frank Zappa,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/humor"">humor</a>
</div>",125573
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/ataraxy"">ataraxy</a>,
       <a href=""/quotes/tag/be-yourself"">be-yourself</a>,
       <a href=""/quotes/tag/confidence"">confidence</a>,
       <a href=""/quotes/tag/fitting-in"">fitting-in</a>,
       <a href=""/quotes/tag/individuality"">individuality</a>,
       <a href=""/quotes/tag/misattributed-dr-seuss"">misattributed-dr-seuss</a>,
       <a href=""/quotes/tag/those-who-matter"">those-who-matter</a>
</div>",119804
A room without books is like a body without a soul.,Marcus Tullius Cicero,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/simile"">simile</a>,
       <a href=""/quotes/tag/soul"">soul</a>
</div>",118825
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/dance"">dance</a>,
       <a href=""/quotes/tag/heaven"">heaven</a>,
       <a href=""/quotes/tag/hurt"">hurt</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/sing"">sing</a>
</div>",117553
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/dreams"">dreams</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/reality"">reality</a>,
       <a href=""/quotes/tag/sleep"">sleep</a>
</div>",114189
"You only live once, but if you do it right, once is enough.",Mae West,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/humor"">humor</a>,
       <a href=""/quotes/tag/life"">life</a>
</div>",106931
Be the change that you wish to see in the world.,Mahatma Gandhi,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/action"">action</a>,
       <a href=""/quotes/tag/change"">change</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/philosophy"">philosophy</a>,
       <a href=""/quotes/tag/wish"">wish</a>
</div>",105388
